날짜,NOK/USD,USD/KRW,NOK/KRW,dNOK/KRW
2022-07-29,0.1027708054,1295.150024,133.1036111,-0.008589770579
2022-08-01,0.1032468081,1302.280029,134.4562562,0.01016234747
2022-08-02,0.1037836373,1306.75,135.619268,0.008649741116
2022-08-03,0.1022454128,1314.630005,134.4148875,-0.008880600485
2022-08-04,0.1029157043,1307.380005,134.5499339,0.001004698533
2022-08-05,0.1028667986,1302.079956,133.9407967,-0.004527220905
2022-08-08,0.1017159522,1302.73999,132.5094385,-0.01068649856
2022-08-09,0.1029014066,1299.030029,133.6720172,0.008773553826
2022-08-10,0.1028490216,1307.560059,134.4812726,0.006054037741
2022-08-11,0.1051093712,1296.699951,136.2953166,0.01348919352
2022-08-12,0.1050431132,1306.829956,137.273487,0.007176845926
2022-08-15,0.1042951867,1301.380005,135.7276706,-0.01126085238
2022-08-16,0.1030821577,1313.180054,135.3654333,-0.002668853195
2022-08-17,0.10348057,1311.0,135.6630273,0.002198448592
2022-08-18,0.1030056998,1314.829956,135.4349798,-0.001680985155
2022-08-19,0.1027774587,1326.910034,136.3764413,0.006951391107
2022-08-22,0.1018765718,1334.859985,135.9909591,-0.002826603794
2022-08-23,0.1018396318,1343.359985,136.8072863,0.006002804718
2022-08-24,0.103082791,1339.079956,138.0360992,0.008982072221
2022-08-25,0.1030927822,1340.0,138.1443281,0.0007840626084
2022-08-26,0.1034934223,1334.439941,138.1057563,-0.0002792137616
2022-08-29,0.1021315828,1341.180054,136.9768417,-0.008174276575
2022-08-30,0.1027432457,1345.72998,138.264666,0.009401766462
2022-08-31,0.1019616425,1350.189941,137.6675841,-0.004318398016
2022-09-01,0.1005011946,1342.26001,134.8987344,-0.02011257549
2022-09-02,0.09955073148,1355.099976,134.9011938,1.823114214e-05
2022-09-05,0.0993950814,1361.51001,135.3273982,0.003159382349
2022-09-06,0.1005932018,1361.810059,136.9888341,0.01227715771
2022-09-07,0.09967982769,1378.109985,137.3697659,0.002780750863
2022-09-08,0.09986717999,1374.310059,137.24847,-0.0008829882887
2022-09-09,0.09973808378,1383.0,137.9377699,0.005022277364
2022-09-12,0.1013643593,1379.060059,139.7875392,0.01341017297
2022-09-13,0.101655975,1375.810059,139.8593129,0.0005134483367
2022-09-14,0.099075526,1393.469971,138.0587703,-0.01287395563
2022-09-15,0.09914880991,1391.180054,137.9338467,-0.0009048582377
2022-09-16,0.09819304943,1398.630005,137.3357452,-0.004336147401
2022-09-19,0.09823279083,1385.22998,136.0750069,-0.009179971924
2022-09-20,0.09800366312,1390.109985,136.2358707,0.001182169979
2022-09-21,0.09678583592,1392.51001,134.7752453,-0.01072129811
