날짜,방어(자연)_대,d방어(자연)_대
2021-03-22,8701,0.02461139896
2021-03-23,7039,-0.1910125273
2021-03-24,7711,0.09546810627
2021-03-25,10167,0.3185060303
2021-03-26,10167,0.0
2021-03-27,10167,0.0
2021-03-29,9158,-0.09924264778
2021-03-30,14000,0.5287180607
2021-03-31,8334,-0.4047142857
2021-04-01,6571,-0.2115430766
2021-04-02,6571,0.0
2021-04-03,15509,1.360219145
2021-04-05,16091,0.03752659746
2021-04-07,16500,0.02541793549
2021-04-08,16384,-0.00703030303
2021-04-09,16384,0.0
2021-04-10,7600,-0.5361328125
2021-04-13,4588,-0.3963157895
2021-04-14,4588,0.0
2021-04-15,2022,-0.5592850915
2021-04-16,2330,0.1523244313
2021-04-17,1800,-0.2274678112
2021-04-21,5085,1.825
2021-04-22,3632,-0.2857423795
2021-04-23,2749,-0.2431167401
2021-04-24,2420,-0.1196798836
2021-04-26,2420,0.0
2021-04-27,2080,-0.1404958678
2021-04-28,1383,-0.3350961538
2021-04-29,1500,0.08459869848
2021-04-30,1500,0.0
2021-05-01,13000,7.666666667
2021-05-03,12310,-0.05307692308
2021-05-04,3726,-0.6973192526
2021-05-05,3726,0.0
2021-05-06,3726,0.0
2021-05-07,3726,0.0
2021-05-08,1947,-0.4774557166
2021-05-10,5797,1.97740113
2021-05-11,14000,1.415042263
2021-05-13,15000,0.07142857143
2021-05-14,15000,0.0
2021-05-15,15000,0.0
2021-05-17,12199,-0.1867333333
2021-05-19,14000,0.1476350521
2021-05-20,13936,-0.004571428571
2021-05-21,3383,-0.7572474168
2021-05-22,4891,0.4457582028
2021-05-24,14000,1.862400327
2021-05-25,5964,-0.574
2021-05-26,12019,1.015258216
2021-05-27,12019,0.0
2021-05-28,6315,-0.474581912
2021-05-29,6315,0.0
2021-05-31,6315,0.0
2021-06-01,6315,0.0
2021-06-02,6315,0.0
2021-06-03,6000,-0.04988123515
2021-06-04,8692,0.4486666667
2021-06-08,10225,0.176369075
2021-06-15,9600,-0.06112469438
2021-06-16,10547,0.09864583333
2021-06-17,10050,-0.04712240448
2021-06-18,4826,-0.519800995
2021-06-19,4826,0.0
2021-06-21,10397,1.154372151
2021-06-22,10397,0.0
2021-06-23,5325,-0.4878330288
2021-06-24,6462,0.2135211268
2021-06-26,4343,-0.3279170535
2021-06-29,19000,3.37485609
2021-06-30,7574,-0.6013684211
2021-07-01,8500,0.1222603644
2021-07-02,18800,1.211764706
2021-07-03,18800,0.0
2021-07-05,12806,-0.3188297872
2021-07-06,16574,0.2942370764
2021-07-08,5935,-0.6419090141
2021-07-09,5935,0.0
2021-07-12,9073,0.5287278854
2021-07-13,7672,-0.154414196
2021-07-14,3744,-0.511991658
2021-07-15,1898,-0.4930555556
2021-07-16,2986,0.5732349842
2021-07-17,2986,0.0
2021-07-19,6143,1.057267247
2021-07-20,4929,-0.1976233111
2021-07-21,3232,-0.3442889024
2021-07-22,3232,0.0
2021-07-23,1185,-0.6333539604
2021-07-24,1185,0.0
2021-07-26,2273,0.9181434599
2021-07-27,3390,0.4914210295
2021-07-28,3390,0.0
2021-07-29,3390,0.0
2021-07-30,3390,0.0
2021-07-31,3390,0.0
2021-08-02,3390,0.0
2021-08-03,4000,0.1799410029
2021-08-04,3517,-0.12075
2021-08-05,3500,-0.004833665055
2021-08-06,3500,0.0
2021-08-09,3500,0.0
2021-08-11,14947,3.270571429
2021-08-12,14947,0.0
2021-08-13,14947,0.0
2021-08-14,14947,0.0
2021-08-16,18000,0.2042550345
2021-08-17,18000,0.0
2021-08-18,18000,0.0
2021-08-19,18000,0.0
2021-08-20,18000,0.0
2021-08-21,18000,0.0
2021-08-23,18000,0.0
2021-08-24,18000,0.0
2021-08-26,16000,-0.1111111111
2021-08-27,16000,0.0
2021-08-28,16000,0.0
2021-08-30,16000,0.0
2021-08-31,6000,-0.625
2021-09-01,17000,1.833333333
2021-09-02,17000,0.0
2021-09-03,16000,-0.05882352941
2021-09-04,16792,0.0495
2021-09-06,3365,-0.7996069557
2021-09-07,4358,0.2950965825
2021-09-08,16561,2.800137678
2021-09-09,16879,0.01920173903
2021-09-10,16879,0.0
2021-09-13,16600,-0.01652941525
2021-09-14,7689,-0.5368072289
2021-09-15,3376,-0.5609312004
2021-09-16,7343,1.175059242
