날짜,광어_대,광어_중,광어_소,d광어_대,d광어_중,d광어_소
2021-04-02,23434.0,18565.0,11502.0,0.0,0.0,0.0
2021-04-05,22738.0,19918.0,16091.0,-0.02970043526,0.07287907353,0.3989740915
2021-04-06,23438.0,20648.0,15603.0,0.03078546926,0.03665026609,-0.03032751227
2021-04-07,22882.0,19382.0,16943.0,-0.02372216059,-0.0613134444,0.08588092034
2021-04-08,22951.0,17591.0,11251.0,0.003015470676,-0.09240532453,-0.3359499498
2021-04-09,23448.0,21107.0,17923.0,0.02165482985,0.199874936,0.5930139543
2021-04-12,24065.0,21911.0,16018.0,0.02631354487,0.03809162837,-0.1062880098
2021-04-13,20978.0,17650.0,15921.0,-0.1282775815,-0.1944685318,-0.006055687352
2021-04-14,24368.0,21301.0,16743.0,0.1615978644,0.2068555241,0.05162992274
2021-04-15,23523.0,18556.0,17000.0,-0.03467662508,-0.1288671893,0.01534969838
2021-04-16,23779.0,19795.0,15958.0,0.01088296561,0.06677085579,-0.06129411765
2021-04-19,21996.0,16802.0,15872.0,-0.07498212709,-0.1511997979,-0.00538914651
2021-04-20,22099.0,18843.0,16478.0,0.004682669576,0.1214736341,0.03818044355
2021-04-21,24491.0,21939.0,17607.0,0.1082401919,0.164305047,0.06851559655
2021-04-22,23211.0,19927.0,15618.0,-0.05226409702,-0.09170882903,-0.1129664338
2021-04-23,22951.0,18127.0,15693.0,-0.01120158546,-0.09032970342,0.004802151364
2021-04-26,23692.0,21128.0,16357.0,0.03228617489,0.1655541457,0.04231185879
2021-04-27,20905.0,16000.0,15868.0,-0.1176346446,-0.2427110943,-0.0298954576
2021-04-28,23435.0,17015.0,10000.0,0.1210236785,0.0634375,-0.3698008571
2021-04-29,22455.0,18856.0,16075.0,-0.0418177939,0.1081986483,0.6075
2021-04-30,22455.0,18856.0,16075.0,0.0,0.0,0.0
2021-05-03,22430.0,18419.0,10852.0,-0.001113337787,-0.02317564701,-0.3249144635
2021-05-04,22857.0,17410.0,15876.0,0.01903700401,-0.05478038981,0.4629561371
2021-05-06,23156.0,20436.0,17436.0,0.01308133176,0.1738081562,0.09826152683
2021-05-07,23156.0,20436.0,17436.0,0.0,0.0,0.0
2021-05-10,22430.0,17104.0,13134.0,-0.03135256521,-0.1630456058,-0.2467309016
2021-05-11,17232.0,16000.0,16000.0,-0.2317432011,-0.06454630496,0.2182122735
2021-05-12,22852.0,21008.0,17188.0,0.3261374188,0.313,0.07425
2021-05-13,23891.0,21976.0,18173.0,0.04546647996,0.04607768469,0.05730742378
2021-05-14,23891.0,21976.0,18173.0,0.0,0.0,0.0
2021-05-17,23331.0,20330.0,12219.0,-0.02343978904,-0.07489989079,-0.3276289
2021-05-18,23694.0,17107.0,16000.0,0.01555869873,-0.1585341859,0.3094361241
2021-05-20,22984.0,22135.0,17053.0,-0.02996539208,0.2939147717,0.0658125
2021-05-21,23114.0,16229.0,10000.0,0.005656108597,-0.2668172577,-0.4135929162
2021-05-24,21590.0,15720.0,10000.0,-0.06593406593,-0.03136360836,0.0
2021-05-25,22859.0,16796.0,15881.0,0.05877721167,0.06844783715,0.5881
2021-05-26,25379.0,22673.0,17006.0,0.1102410429,0.3499047392,0.0708393678
2021-05-27,24000.0,21313.0,17163.0,-0.05433626226,-0.05998323998,0.009232035752
2021-05-28,24579.0,21659.0,10818.0,0.024125,0.01623422324,-0.3696906135
2021-05-31,24532.0,18553.0,16429.0,-0.001912201473,-0.1434045893,0.5186725827
2021-06-01,24914.0,17774.0,16000.0,0.01557149845,-0.04198781868,-0.02611236229
2021-06-02,25682.0,17851.0,10000.0,0.03082604158,0.004332170586,-0.375
2021-06-03,26084.0,19510.0,16667.0,0.01565298653,0.09293596997,0.6667
2021-06-04,24892.0,19712.0,17176.0,-0.0456985125,0.01035366479,0.03053938921
2021-06-07,25000.0,19475.0,13286.0,0.004338743371,-0.01202313312,-0.2264788076
2021-06-08,22291.0,17172.0,16071.0,-0.10836,-0.118254172,0.209619148
2021-06-09,24861.0,22652.0,18154.0,0.1152931676,0.3191241556,0.1296123452
2021-06-10,24236.0,17456.0,17000.0,-0.02513977716,-0.2293837189,-0.0635672579
2021-06-11,24995.0,21045.0,12911.0,0.03131704902,0.2056026581,-0.2405294118
2021-06-14,25000.0,21574.0,17741.0,0.000200040008,0.02513661202,0.374099605
2021-06-15,23827.0,17518.0,16795.0,-0.04692,-0.188004079,-0.05332281157
2021-06-16,25040.0,19858.0,19105.0,0.05090863306,0.1335768923,0.1375409348
2021-06-17,25368.0,21543.0,18257.0,0.01309904153,0.08485245241,-0.04438628631
2021-06-18,25091.0,21306.0,17356.0,-0.01091926837,-0.01100125331,-0.04935093389
2021-06-21,25548.0,24420.0,19996.0,0.01821370212,0.1461560124,0.1521087808
2021-06-22,25548.0,24420.0,19996.0,0.0,0.0,0.0
2021-06-23,25863.0,22046.0,17352.0,0.01232973227,-0.09721539722,-0.1322264453
2021-06-24,21455.0,17165.0,12947.0,-0.170436531,-0.2214007076,-0.2538612264
2021-06-25,25034.0,19129.0,17067.0,0.1668142624,0.1144188756,0.3182204372
2021-06-28,25166.0,20411.0,18624.0,0.005272828953,0.06701866276,0.09122868694
2021-06-29,26654.0,25127.0,24644.0,0.0591273941,0.2310518838,0.3232388316
2021-06-30,24690.0,19625.0,17397.0,-0.07368500038,-0.2189676444,-0.2940675215
2021-07-01,24239.0,19642.0,17322.0,-0.01826650466,0.0008662420382,-0.004311088119
2021-07-02,25109.0,19999.0,18063.0,0.03589256983,0.01817533856,0.04277797021
2021-07-05,25175.0,22463.0,19053.0,0.002628539567,0.1232061603,0.0548081714
2021-07-06,23403.0,19979.0,18006.0,-0.07038728898,-0.1105818457,-0.05495197607
2021-07-07,26445.0,20062.0,14302.0,0.1299833355,0.00415436208,-0.205709208
2021-07-08,24937.0,21887.0,17806.0,-0.0570240121,0.0909679992,0.2450006992
2021-07-09,24937.0,21887.0,17806.0,0.0,0.0,0.0
2021-07-12,24606.0,19393.0,17905.0,-0.01327344909,-0.1139489194,0.005559923621
2021-07-13,21657.0,17773.0,16792.0,-0.1198488174,-0.08353529624,-0.06216140743
2021-07-14,23665.0,19812.0,18042.0,0.0927182897,0.1147245822,0.07444020962
2021-07-15,25115.0,19037.0,12636.0,0.06127192056,-0.03911770644,-0.2996341869
2021-07-16,25059.0,21262.0,17048.0,-0.002229743181,0.1168776593,0.3491611269
2021-07-19,24445.0,19253.0,14824.0,-0.02450217487,-0.09448781864,-0.1304551854
2021-07-20,21485.0,16944.0,10287.0,-0.1210881571,-0.1199293617,-0.3060577442
2021-07-21,23968.0,19158.0,17681.0,0.1155690016,0.1306657224,0.7187712647
2021-07-22,23968.0,19158.0,17681.0,0.0,0.0,0.0
2021-07-23,21958.0,17882.0,16070.0,-0.08386181575,-0.06660402965,-0.09111475595
2021-07-26,24108.0,19448.0,17353.0,0.09791419984,0.08757409686,0.07983820784
2021-07-27,22860.0,18998.0,16800.0,-0.05176704828,-0.02313862608,-0.03186768858
2021-07-28,24142.0,19403.0,17321.0,0.05608048994,0.02131803348,0.03101190476
2021-07-29,24092.0,17997.0,11483.0,-0.002071079447,-0.07246302118,-0.3370475146
2021-07-30,21630.0,17156.0,5182.0,-0.1021915989,-0.04673001056,-0.548724201
2021-08-02,24092.0,19999.0,16896.0,0.1138233934,0.1657146188,2.260517175
2021-08-03,22234.0,17710.0,15613.0,-0.07712103603,-0.1144557228,-0.07593513258
2021-08-04,22509.0,19296.0,17233.0,0.01236844472,0.08955392434,0.1037596874
2021-08-05,23297.0,19384.0,17940.0,0.03500821893,0.00456053068,0.04102593861
2021-08-06,22223.0,19515.0,17543.0,-0.04610035627,0.006758151052,-0.02212931996
2021-08-09,22223.0,19515.0,17543.0,0.0,0.0,0.0
2021-08-10,21254.0,17583.0,16514.0,-0.04360347388,-0.09900076864,-0.05865587414
2021-08-11,21679.0,18897.0,17308.0,0.019996236,0.07473127453,0.04808041662
2021-08-12,22780.0,19984.0,17386.0,0.05078647539,0.05752235805,0.00450658655
2021-08-13,22110.0,18973.0,11621.0,-0.02941176471,-0.05059047238,-0.3315886345
2021-08-17,21260.0,18309.0,14314.0,-0.03844414292,-0.03499710114,0.231735651
2021-08-18,20276.0,19597.0,12585.0,-0.0462841016,0.07034791633,-0.1207908341
2021-08-19,21648.0,17768.0,11806.0,0.06766620635,-0.09333061183,-0.06189908621
2021-08-20,19784.0,16474.0,7405.0,-0.08610495196,-0.07282755516,-0.3727765543
