날짜,대,중,소
2019/6/1,13512.5,11815.0,10353.5
2019/6/3,13718.5,11973.5,10420.0
2019/6/4,11544.0,9259.0,6533.0
2019/6/5,11672.0,9881.5,8266.5
2019/6/6,11537.5,10294.0,8739.5
2019/6/7,11687.0,10992.0,7744.0
2019/6/8,11922.0,10765.5,8755.5
2019/6/10,11548.5,10517.5,8042.5
2019/6/11,11846.5,10665.5,9488.0
2019/6/12,12476.5,11322.5,10521.0
2019/6/13,12428.0,11428.5,10736.5
2019/6/14,12518.0,11533.0,9336.0
2019/6/15,14259.0,11664.0,9272.5
2019/6/17,12364.0,11132.5,9516.5
2019/6/18,13074.5,11272.5,9866.5
2019/6/19,13106.0,11778.5,10301.0
2019/6/20,12252.5,11538.5,10174.5
2019/6/21,12545.0,11622.0,8840.0
2019/6/22,12672.0,11579.0,9796.5
2019/6/24,12755.0,11174.0,9420.0
2019/6/25,14439.0,12104.0,10085.0
2019/6/26,16719.5,12239.0,10192.0
2019/6/27,19547.0,12525.0,10433.0
2019/6/28,20000.0,14385.0,11591.0
2019/6/29,16584.5,12840.0,10578.0
2019/7/1,13010.5,11034.0,9782.5
2019/7/2,12829.5,11422.5,9846.0
2019/7/3,12848.5,12002.5,10096.0
2019/7/4,13030.0,11642.0,9756.5
2019/7/5,12969.0,11781.0,9476.0
2019/7/6,12803.0,11788.5,10070.5
2019/7/8,12928.5,11388.5,9738.0
2019/7/9,12973.0,11063.0,9487.0
2019/7/10,13459.0,11628.5,9669.5
2019/7/11,13559.0,11393.0,9876.0
2019/7/12,13325.0,11937.0,10107.0
2019/7/13,13268.5,11908.0,10215.0
2019/7/15,13241.0,11885.0,10053.5
2019/7/16,13450.0,12228.0,10368.0
2019/7/17,13770.0,12846.0,12361.0
2019/7/18,14519.0,12448.0,10588.0
2019/7/19,14168.0,12571.0,11061.0
2019/7/20,13862.0,12095.0,10530.5
2019/7/22,14246.0,12415.5,10910.5
2019/7/23,14324.0,12260.0,10760.0
2019/7/24,13950.0,12418.0,10044.0
2019/7/25,14125.5,12337.5,10454.0
2019/7/26,13970.0,11615.0,10000.0
2019/7/27,16985.0,12558.0,10253.5
2019/7/29,17095.0,13261.5,10998.0
2019/7/30,14034.5,12758.0,11212.5
2019/7/31,13658.0,11576.0,10000.0
2019/8/1,13997.0,12712.0,10949.0
2019/8/2,13997.0,12712.0,10949.0
2019/8/5,15002.0,10831.0,10000.0
2019/8/6,14016.0,11838.0,10000.0
2019/8/7,14160.5,12427.5,10765.0
2019/8/8,14311.0,12607.0,11019.0
2019/8/9,12936.0,12500.0,12500.0
2019/8/10,13373.5,11995.0,11370.0
2019/8/12,13899.0,11980.0,10471.0
2019/8/13,13992.0,12380.0,10446.0
2019/8/14,13854.0,12309.0,10515.5
2019/8/15,13614.0,11990.5,10482.5
2019/8/16,14316.0,12554.0,10953.0
2019/8/17,13619.5,11958.0,10108.5
2019/8/19,14417.5,12538.0,11383.0
2019/8/20,13469.0,12385.0,10578.0
2019/8/21,13465.0,11794.5,10289.0
2019/8/22,13461.0,11204.0,10000.0
2019/8/23,17844.0,12084.0,10246.0
2019/8/24,15742.5,11887.5,10157.5
2019/8/26,13266.5,10971.5,10034.5
2019/8/27,13071.5,10932.0,10125.0
2019/8/28,13214.0,11803.5,10591.5
2019/8/29,14137.0,12287.0,10873.0
2019/8/30,13224.0,11860.0,10017.0
2019/8/31,12862.0,11692.0,10020.0
2019/9/2,13439.0,11257.0,9213.0
2019/9/3,13324.0,11500.0,10267.0
2019/9/4,13533.5,11732.5,10394.5
2019/9/5,12865.0,11725.0,10508.0
2019/9/6,12964.0,11135.0,10040.0
2019/9/7,14160.5,11138.5,10183.0
2019/9/9,14340.5,11196.5,10290.0
2019/9/10,12774.0,10663.5,8832.5
2019/9/11,13313.0,11490.0,10500.0
2019/9/12,12787.0,11103.0,9973.0
2019/9/16,13429.0,11160.0,9969.0
2019/9/17,15469.0,11721.5,10291.5
2019/9/18,15291.5,11940.5,10307.0
2019/9/19,12779.0,10979.0,8662.5
2019/9/20,12274.5,10035.5,6132.0
2019/9/21,12101.0,9106.0,5279.0
2019/9/23,13309.0,11542.0,10044.0
2019/9/24,14324.0,11255.0,8075.0
2019/9/25,19382.0,13239.0,12049.0
2019/9/26,20000.0,12453.0,10547.0
2019/9/27,12538.0,11390.0,9693.0
2019/9/28,11780.0,10331.0,6075.0
2019/9/30,20000.0,15357.0,10770.0
2019/10/1,12432.0,11197.0,10079.0
2019/10/2,12406.0,10802.0,10103.0
2019/10/3,12330.0,10961.0,10435.0
2019/10/4,12330.0,10961.0,10435.0
2019/10/5,12760.0,10967.0,10118.0
2019/10/7,12829.0,11199.0,10189.0
2019/10/8,12829.0,11199.0,10189.0
2019/10/9,12829.0,11199.0,10189.0
2019/10/10,12517.0,10247.0,9892.0
2019/10/11,13795.0,11203.0,6948.0
2019/10/12,12295.0,10383.0,9020.0
2019/10/14,12588.0,9199.0,5507.0
2019/10/15,13059.0,10796.0,9982.0
2019/10/16,13059.0,10796.0,9982.0
2019/10/17,12049.0,10094.0,9604.0
2019/10/18,15022.0,11576.0,10000.0
2019/10/19,11111.0,10320.0,9836.0
2019/10/21,11111.0,10320.0,9836.0
2019/10/22,12466.0,10267.0,9910.0
2019/10/23,14035.0,11122.0,10037.0
2019/10/24,12606.0,10580.0,9870.0
2019/10/25,12457.0,10378.0,9903.0
2019/10/26,12457.0,10378.0,9903.0
2019/10/28,12457.0,10378.0,9903.0
2019/10/29,12278.0,10444.0,10000.0
2019/10/30,12278.0,10444.0,10000.0
2019/10/31,12410.0,11283.0,10110.0
2019/11/1,12410.0,11283.0,10110.0
2019/11/2,10974.0,10408.0,9931.0
2019/11/4,11389.0,10032.0,9917.0
2019/11/5,13892.0,11156.0,9110.0
2019/11/6,13123.0,10000.0,9106.0
2019/11/7,10355.0,9551.0,6494.0
2019/11/8,12037.0,10746.0,9645.0
2019/11/9,10834.0,10013.0,9123.0
2019/11/11,10834.0,10013.0,9123.0
2019/11/12,11961.0,10642.0,10000.0
2019/11/13,11485.0,10965.0,10304.0
2019/11/14,11485.0,10965.0,10304.0
2019/11/15,15080.0,10361.0,9984.0
2019/11/16,12312.0,10176.0,10000.0
2019/11/18,12312.0,10176.0,10000.0
2019/11/19,11036.0,10010.0,9849.0
2019/11/20,14548.0,10208.0,9972.0
2019/11/21,10745.0,10084.0,9767.0
2019/11/22,10914.0,10222.0,10000.0
2019/11/23,12271.0,10224.0,9630.0
2019/11/25,12271.0,10224.0,9630.0
2019/11/26,10784.0,10078.0,9661.0
2019/11/27,10535.0,9931.0,7929.0
2019/11/28,17603.0,10093.0,7999.0
2019/11/29,17603.0,10093.0,7999.0
2019/11/30,12379.0,10022.0,8943.0
