날짜,참돔_대,참돔_중,참돔_소,d참돔_대,d참돔_중,d참돔_소
2018-08-23,16894,14713,12447,-0.07389540621,-0.03773708306,0.1326781327
2018-08-24,16192,13949,11760,-0.04155321416,-0.0519268674,-0.05519402266
2018-08-25,16957,14634,12486,0.04724555336,0.0491074629,0.06173469388
2018-08-27,17147,13736,10626,0.01120481217,-0.06136394697,-0.1489668429
2018-08-28,16357,13093,6972,-0.04607219922,-0.04681129878,-0.3438735178
2018-08-30,16755,11263,1327,0.02433209024,-0.1397693424,-0.8096672404
2018-08-31,16401,14030,11852,-0.02112802149,0.2456716683,7.931424265
2018-09-01,17880,15372,9615,0.09017742821,0.09565217391,-0.1887445157
2018-09-03,16759,14128,12390,-0.06269574944,-0.08092635961,0.2886115445
2018-09-04,16818,13303,10194,0.00352049645,-0.05839467724,-0.1772397094
2018-09-05,17346,11607,6959,0.031394934,-0.1274900398,-0.3173435354
2018-09-06,17415,15558,13029,0.003977862331,0.3403980357,0.8722517603
2018-09-07,16444,12335,8652,-0.05575653173,-0.2071603034,-0.3359428966
2018-09-08,17731,16495,13862,0.0782656288,0.3372517227,0.602172908
2018-09-10,18159,16621,13986,0.02413851447,0.007638678387,0.008945318136
2018-09-11,16717,14264,11320,-0.07940965912,-0.1418085554,-0.1906191906
2018-09-12,17434,16018,14015,0.04289047078,0.1229669097,0.2380742049
2018-09-13,17130,15763,10781,-0.01743719169,-0.01591959046,-0.2307527649
2018-09-14,17673,15841,11834,0.03169877408,0.004948296644,0.09767183007
2018-09-15,17673,15841,11834,0.0,0.0,0.0
2018-09-17,17942,16821,14882,0.01522095852,0.06186478126,0.2575629542
2018-09-18,17646,15709,12877,-0.01649760339,-0.06610784139,-0.1347265153
2018-09-19,17358,15437,8262,-0.01632097926,-0.01731491502,-0.3583909296
2018-09-20,17833,16847,12159,0.02736490379,0.09133899074,0.4716775599
2018-09-21,18928,17395,13365,0.06140301688,0.03252804654,0.0991857883
2018-09-22,18928,17395,13365,0.0,0.0,0.0
2018-09-27,18439,15007,12000,-0.02583474218,-0.1372808278,-0.1021324355
2018-09-28,18434,16120,8672,-0.0002711643798,0.07416538948,-0.2773333333
2018-09-29,18434,16120,8672,0.0,0.0,0.0
2018-10-01,18434,16120,8672,0.0,0.0,0.0
2018-10-02,18259,16360,13941,-0.009493327547,0.01488833747,0.6075876384
2018-10-03,18678,17403,12894,0.02294758749,0.06375305623,-0.07510221648
2018-10-04,18678,17403,12894,0.0,0.0,0.0
2018-10-05,17205,15321,13869,-0.07886283328,-0.1196345458,0.07561656584
2018-10-06,17205,15321,13869,0.0,0.0,0.0
2018-10-08,17205,15321,13869,0.0,0.0,0.0
2018-10-09,16079,15947,14553,-0.06544609125,0.04085895177,0.04931862427
