지점,일시,풍속,GUST풍속,현지기압,습도,기온,수온,최대파고,유의파고,평균파고,파주기
22190,2018-04-06,7.341666666666666,9.841666666666667,1008.6583333333333,78.5,10.5,12.616666666666667,2.9,1.5125,1.0791666666666668,6.0125
22190,2018-04-07,10.2,14.195652173913043,1009.4869565217392,51.82608695652174,7.965217391304347,13.200000000000001,3.9,1.7608695652173914,1.2608695652173914,5.326086956521739
22190,2018-04-08,9.0375,12.704166666666666,1014.6541666666667,52.75,8.370833333333334,13.254166666666665,4.2,1.7166666666666668,1.2166666666666666,6.2250000000000005
22190,2018-04-09,3.1791666666666667,4.783333333333333,1016.6833333333334,67.75,10.9125,13.725,2.3,0.9125,0.65,6.3500000000000005
22190,2018-04-10,9.9375,13.283333333333333,1013.3916666666668,81.625,14.604166666666666,13.466666666666667,4.8,1.5708333333333335,1.1041666666666667,5.0874999999999995
22190,2018-04-11,7.304166666666667,9.887500000000001,1006.1041666666666,63.875,16.779166666666665,13.541666666666666,4.9,1.6708333333333334,1.1875,6.5249999999999995
22190,2018-04-12,5.8125,7.6499999999999995,1014.4875000000001,55.791666666666664,14.887500000000001,13.575000000000001,1.7,0.8375,0.6083333333333333,4.033333333333333
22190,2018-04-13,5.078260869565217,6.5086956521739125,1025.1136363636363,62.82608695652174,13.14782608695652,13.88695652173913,1.8,0.7782608695652173,0.5608695652173913,4.878260869565217
22190,2018-04-14,6.665217391304348,9.034782608695652,1010.8826086956522,78.91304347826087,12.213043478260868,14.065217391304348,3.7,1.5217391304347827,1.0782608695652174,6.552173913043478
22190,2018-04-15,4.341666666666667,6.4624999999999995,1008.9166666666666,63.458333333333336,12.424999999999999,14.887500000000001,3.8,1.0958333333333334,0.7833333333333333,5.404166666666666
22190,2018-04-16,6.3374999999999995,8.245833333333334,1019.1916666666666,63.458333333333336,12.683333333333332,14.729166666666666,2.6,0.9708333333333333,0.6791666666666667,5.416666666666667
22190,2018-04-17,6.295833333333333,7.966666666666666,1020.3125,72.5,13.991666666666667,14.716666666666667,2.1,0.875,0.625,6.441666666666666
22190,2018-04-18,5.658333333333334,11.525,1015.3083333333334,70.25,15.4625,15.104166666666666,1.9,0.7583333333333333,0.5375,6.0874999999999995
22190,2018-04-19,5.504166666666666,6.816666666666666,1013.225,65.91666666666667,17.079166666666666,15.045833333333334,1.8,0.7416666666666667,0.5125000000000001,3.8958333333333335
22190,2018-04-20,3.4875000000000003,4.354166666666667,1018.6208333333334,77.08333333333333,17.195833333333333,15.487499999999999,1.3,0.4875,0.3458333333333334,4.270833333333333
22190,2018-04-21,6.958333333333333,8.591666666666667,1015.75,76.79166666666667,17.075,14.816666666666668,1.9,0.8666666666666667,0.6125,4.0375
22190,2018-04-22,9.595833333333333,12.491666666666667,1019.5608695652174,78.0,14.762500000000001,14.5375,4.7,1.7,1.2083333333333333,5.675
22190,2018-04-23,9.424999999999999,12.174999999999999,1020.0458333333332,84.625,12.354166666666666,13.966666666666667,4.5,2.066666666666667,1.4708333333333332,6.291666666666667
22190,2018-04-24,11.075000000000001,14.495833333333332,1012.3958333333334,86.125,12.083333333333334,14.329166666666666,6.0,2.5375,1.8083333333333333,6.758333333333333
22190,2018-04-25,8.216666666666667,10.941666666666668,1012.9875000000001,62.291666666666664,13.195833333333333,14.595833333333333,4.7,2.1166666666666667,1.5041666666666667,6.970833333333334
22190,2018-04-26,7.570833333333333,9.620833333333334,1012.6416666666668,78.625,14.695833333333333,14.791666666666666,2.7,1.2458333333333333,0.8916666666666667,5.666666666666667
22190,2018-04-27,7.845833333333332,10.6375,1012.5666666666666,64.0,15.120833333333332,15.112499999999999,4.8,1.6041666666666667,1.1416666666666666,6.3500000000000005
22190,2018-04-28,7.5874999999999995,9.720833333333333,1013.875,73.375,15.754166666666668,14.958333333333334,3.0,1.325,0.9416666666666668,5.5874999999999995
